Unit,Method,Acres,Plots,cu ft/ac,vol_cv,vol_se95,BA,ba_cv,ba_se95,t,Std %,Design,20-plot,QA flags,Status,data
101,Tractor,97,45,6073,35,10.4,212,13,3.9,2.02,40,meets,ok,7,follow-up,simulated
102,Tractor,36,18,6811,26,12.9,219,12,5.7,2.11,40,meets,short,0,accepted,simulated
103,Tractor,53,27,6146,38,14.9,204,18,7.2,2.06,40,meets,ok,0,accepted,simulated
401,Cable,30,14,7001,40,22.9,221,11,6.3,2.16,40,meets,short,0,accepted,simulated
104,Tractor,112,59,5141,37,9.6,207,15,3.9,2.00,40,meets,ok,0,accepted,simulated
402,Cable,39,19,8094,30,14.4,214,14,6.6,2.10,40,meets,short,0,accepted,simulated
105,Tractor,57,29,7800,23,8.7,222,11,4.3,2.05,40,meets,ok,0,accepted,simulated
106,Tractor,89,41,7140,38,11.9,213,20,6.3,2.02,40,meets,ok,0,accepted,simulated
107,Tractor,95,46,7915,23,6.8,227,11,3.3,2.01,40,meets,ok,0,accepted,simulated
403,Cable,34,20,8263,18,8.2,229,11,5.2,2.09,40,meets,ok,0,accepted,simulated
108,Tractor,63,31,7810,18,6.4,222,15,5.4,2.04,40,meets,ok,0,accepted,simulated
109,Tractor,73,34,7627,28,9.7,214,25,8.8,2.03,40,meets,ok,0,accepted,simulated
404,Cable,51,27,7814,30,12.0,208,19,7.6,2.06,40,meets,ok,0,accepted,simulated
110,Tractor,62,31,5280,39,14.2,203,20,7.5,2.04,40,meets,ok,0,accepted,simulated
111,Tractor,56,27,6509,34,13.3,222,18,7.1,2.06,40,meets,ok,0,accepted,simulated
112,Tractor,80,40,6672,29,9.3,214,16,5.1,2.02,40,meets,ok,0,accepted,simulated
113,Tractor,73,36,7904,18,6.1,228,12,4.1,2.03,40,meets,ok,0,accepted,simulated
405,Cable,43,20,9406,27,12.6,236,10,4.7,2.09,40,meets,ok,0,accepted,simulated
114,Tractor,116,56,6531,29,7.7,212,16,4.3,2.00,40,meets,ok,0,accepted,simulated
115,Tractor,84,39,7132,25,8.1,228,12,4.0,2.02,40,meets,ok,0,accepted,simulated
116,Tractor,89,44,8012,15,4.5,230,10,3.1,2.02,40,meets,ok,0,accepted,simulated
117,Tractor,82,44,7022,25,7.7,223,13,4.0,2.02,40,meets,ok,0,accepted,simulated
118,Tractor,70,34,7206,20,7.1,220,18,6.4,2.03,40,meets,ok,0,accepted,simulated
406,Cable,35,17,8366,18,9.5,241,9,4.9,2.12,40,meets,short,0,accepted,simulated
